"BehaviorSpace results (NetLogo 3D 6.1.0)"
"ABM-working-10-stochastic.nlogo3D"
"NinaExploPerturbSigInitStd"
"01/25/2022 12:05:51:222 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-49","49","-49","49"
"[run number]","gui-sig-init-std","[step]","getSeed","getViability","getRemainingCellRatio"
"4","10","46","875930","82.07718207718207","96.525"
"3","0","47","436237","81.1013443640124","96.7"
"1","0","48","132753","81.5256875973015","96.35000000000001"
"2","0","46","326117","82.35598036683027","96.775"
"4","10","47","875930","81.82996371176775","96.45"
"3","0","48","436237","80.56418219461698","96.6"
"1","0","49","132753","81.26786178228112","96.22500000000001"
"2","0","47","326117","82.22049689440993","96.6"
"3","0","49","436237","80.23828023828024","96.525"
"4","10","48","875930","81.55163466528282","96.35000000000001"
"1","0","50","132753","80.7912545549193","96.05"
"2","0","48","326117","81.88649909302929","96.475"
"4","10","49","875930","81.27272727272728","96.25"
"3","0","50","436237","79.93259009592948","96.42500000000001"
"1","0","51","132753","80.66283924843424","95.8"
"2","0","49","326117","81.57758173326414","96.35000000000001"
"4","10","50","875930","81.04660244727935","96.025"
"3","0","51","436237","79.79220779220779","96.25"
"1","0","52","132753","80.52219321148824","95.75"
"2","0","50","326117","81.23052959501558","96.3"
"3","0","52","436237","79.70335675253708","96.075"
"4","10","51","875930","80.65189048239895","95.875"
"1","0","53","132753","80.19336294747845","95.675"
"2","0","51","326117","80.81622043150507","96.175"
"4","10","52","875930","80.44386422976501","95.75"
"3","0","53","436237","79.34895833333333","96"
"1","0","54","132753","80.03140539125883","95.525"
"2","0","52","326117","80.59313215400624","96.1"
"4","10","53","875930","80.26143790849673","95.625"
"1","0","55","132753","79.63836477987421","95.39999999999999"
"2","0","53","326117","80.3125","96"
"3","0","54","436237","79.16014606155451","95.85000000000001"
"4","10","54","875930","80.22524882137245","95.45"
"3","0","55","436237","78.89788456516061","95.72500000000001"
"2","0","54","326117","80.06263048016702","95.8"
"1","0","56","132753","79.53769372209088","95.175"
"2","0","55","326117","79.72831765935214","95.7"
"4","10","55","875930","79.95276830228286","95.275"
"3","0","56","436237","78.59383167799268","95.65"
"1","0","57","132753","79.07894736842105","95"
"4","10","56","875930","79.31215542137043","95.22500000000001"
"2","0","56","326117","79.50798220361162","95.525"
"3","0","57","436237","78.40314136125654","95.5"
"1","0","58","132753","78.80305826522542","94.825"
"4","10","57","875930","78.91692954784438","95.1"
"2","0","57","326117","79.20818038804404","95.35"
"3","0","58","436237","78.1765784647629","95.42500000000001"
"1","0","59","132753","78.43551797040169","94.6"
"4","10","58","875930","78.5300316122234","94.89999999999999"
"3","0","59","436237","77.98478089740226","95.275"
"2","0","58","326117","78.78708322394328","95.22500000000001"
"1","0","60","132753","78.060413354531","94.35"
"4","10","59","875930","78.15879715114745","94.77499999999999"
"2","0","59","326117","78.47934754012103","95.025"
"3","0","60","436237","77.78069944780437","95.075"
"1","0","61","132753","77.9489904357067","94.1"
"4","10","60","875930","77.61351636747624","94.69999999999999"
"2","0","60","326117","78.08219178082192","94.89999999999999"
"3","0","61","436237","77.38283307003687","94.95"
"1","0","62","132753","77.89025039957379","93.85"
"4","10","61","875930","77.07342842049657","94.65"
"2","0","61","326117","77.76312318649433","94.77499999999999"
"3","0","62","436237","77.22589167767502","94.625"
"1","0","63","132753","77.79262426509888","93.55"
"4","10","62","875930","76.71341624768458","94.475"
"3","0","63","436237","76.96584590945194","94.425"
"2","0","62","326117","77.45512143611406","94.69999999999999"
"1","0","64","132753","77.78969957081546","93.2"
"4","10","63","875930","76.29139072847683","94.375"
"3","0","64","436237","76.82312383983029","94.27499999999999"
"2","0","63","326117","77.18138551031201","94.55"
"1","0","65","132753","77.74184855834007","92.77499999999999"
"4","10","64","875930","76.19426751592357","94.19999999999999"
"3","0","65","436237","76.70212765957447","94"
"2","0","64","326117","76.96793002915452","94.325"
"1","0","66","132753","77.47772076694572","92.575"
"4","10","65","875930","76.03085927108275","93.975"
"3","0","66","436237","76.51918976545842","93.8"
"2","0","65","326117","76.85160605256172","94.175"
"1","0","67","132753","77.3170731707317","92.25"
"3","0","67","436237","76.30243120491585","93.575"
"4","10","66","875930","75.73980271927486","93.77499999999999"
"2","0","66","326117","76.62234042553192","94"
"1","0","68","132753","77.1172638436482","92.10000000000001"
"3","0","68","436237","75.91006423982869","93.4"
"4","10","67","875930","75.32710280373833","93.625"
"1","0","69","132753","77.12418300653596","91.8"
"2","0","67","326117","76.50666666666666","93.75"
"3","0","69","436237","75.79822913871746","93.175"
"4","10","68","875930","74.94652406417113","93.5"
"1","0","70","132753","76.97350450696531","91.525"
"2","0","68","326117","76.24398073836277","93.45"
"3","0","70","436237","75.69967707212056","92.9"
"2","0","69","326117","76.01931330472102","93.2"
"4","10","69","875930","74.76535264145883","93.22500000000001"
"1","0","71","132753","76.80722891566265","91.3"
"3","0","71","436237","75.5063462057791","92.575"
"4","10","70","875930","74.56352403975288","93.075"
"2","0","70","326117","76.09690444145356","92.875"
"1","0","72","132753","76.6126818556135","91.07499999999999"
"3","0","72","436237","75.40628385698808","92.30000000000001"
"1","0","73","132753","76.56293032222528","90.77499999999999"
"2","0","71","326117","76.07461476074616","92.475"
"4","10","71","875930","74.30649070832212","92.825"
"3","0","73","436237","75.29219896711062","91.975"
"4","10","72","875930","73.91304347826086","92.575"
"1","0","74","132753","76.4364640883978","90.5"
"2","0","72","326117","76.03036876355749","92.2"
"3","0","74","436237","75.29315516771203","91.675"
"4","10","73","875930","73.84823848238482","92.25"
"1","0","75","132753","76.50485436893204","90.125"
"2","0","73","326117","76.02721088435375","91.875"
"3","0","75","436237","75.23262178434592","91.35"
"4","10","74","875930","73.53260869565217","92"
"1","0","76","132753","76.46239554317549","89.75"
"2","0","74","326117","76.0875512995896","91.375"
"3","0","76","436237","75.1100110011001","90.9"
"1","0","77","132753","76.29298294660329","89.425"
"2","0","75","326117","75.81663464177876","91.07499999999999"
"4","10","75","875930","73.49331878920098","91.675"
"3","0","77","436237","74.77228815898427","90.575"
"1","0","78","132753","76.08756665731126","89.075"
"4","10","76","875930","73.37893296853625","91.375"
"2","0","76","326117","75.9525124240751","90.55"
"3","0","78","436237","74.8127600554785","90.125"
"1","0","79","132753","76.171654432524","88.55"
"4","10","77","875930","73.18144386494647","91.07499999999999"
"2","0","77","326117","75.99778270509978","90.2"
"3","0","79","436237","74.79788123780318","89.67500000000001"
"4","10","78","875930","73.2285635511442","90.675"
"1","0","80","132753","76.32027257240205","88.05"
"2","0","78","326117","76.10816838583774","89.67500000000001"
"1","0","81","132753","76.37142857142857","87.5"
"4","10","79","875930","73.14507198228128","90.3"
"3","0","80","436237","74.74067844126718","89.17500000000001"
"2","0","79","326117","76.07293127629734","89.125"
"1","0","82","132753","76.69064748201438","86.875"
"3","0","81","436237","74.71102340005639","88.675"
"4","10","80","875930","73.17548746518105","89.75"
"2","0","80","326117","76.02372211239764","88.52499999999999"
"1","0","83","132753","76.8762677484787","86.275"
"3","0","82","436237","74.65986394557824","88.2"
"4","10","81","875930","73.43793779770243","89.225"
"1","0","84","132753","77.00847210049663","85.575"
"2","0","81","326117","76.40193566752063","87.825"
"4","10","82","875930","73.40095801634263","88.725"
