"BehaviorSpace results (NetLogo 3D 6.1.0)"
"ABM-working-10-stochastic.nlogo3D"
"NinaExploPerturbDiffMean"
"01/25/2022 12:10:13:656 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-49","49","-49","49"
"[run number]","gui-diff-mean","[step]","getSeed","getViability","getRemainingCellRatio"
"4","24","112","439708","94.34118133002892","60.525"
"3","0","112","140233","89.92063492063492","63"
"2","0","115","599540","89.57497995188453","62.35000000000001"
"1","0","114","769495","91.41716566866268","62.625"
"4","24","113","439708","93.99088271860754","60.324999999999996"
"3","0","113","140233","89.69359331476323","62.824999999999996"
"2","0","116","599540","89.46945337620579","62.2"
"1","0","115","769495","91.36690647482014","62.55"
"4","24","114","439708","93.56044869131699","60.175"
"3","0","114","140233","89.42959712804148","62.675000000000004"
"2","0","117","599540","89.45880452342489","61.9"
"1","0","116","769495","91.34615384615384","62.4"
"4","24","115","439708","93.41117597998331","59.95"
"3","0","115","140233","89.05750798722045","62.6"
"2","0","118","599540","89.469420818145","61.724999999999994"
"1","0","117","769495","91.32530120481928","62.25000000000001"
"4","24","116","439708","93.3444956048556","59.724999999999994"
"3","0","116","140233","88.98678414096916","62.425"
"2","0","119","599540","89.04665314401623","61.625"
"1","0","118","769495","91.18002416431736","62.075"
"3","0","117","140233","88.62997187625552","62.224999999999994"
"4","24","117","439708","93.24097397145256","59.550000000000004"
"2","0","120","599540","89.2144892144892","61.425"
"1","0","119","769495","90.91643116673396","61.925"
"4","24","118","439708","93.17032040472175","59.3"
"3","0","118","140233","88.45534995977474","62.150000000000006"
"2","0","121","599540","89.37908496732027","61.199999999999996"
"1","0","120","769495","90.88699878493317","61.724999999999994"
"4","24","119","439708","93.07139839459231","59.175"
"3","0","119","140233","88.4274193548387","62"
"2","0","122","599540","89.1891891891892","61.050000000000004"
"1","0","121","769495","90.74675324675324","61.6"
"3","0","120","140233","88.39466235341689","61.824999999999996"
"4","24","120","439708","92.7996611605252","59.025000000000006"
"2","0","123","599540","89.03490759753593","60.875"
"3","0","121","140233","87.88983394086675","61.724999999999994"
"1","0","122","769495","90.45103616416091","61.525"
"4","24","121","439708","92.73268168295793","58.825"
"2","0","124","599540","88.75617792421747","60.699999999999996"
"3","0","122","140233","87.81478472786353","61.550000000000004"
"1","0","123","769495","90.43549043549044","61.425"
