"BehaviorSpace results (NetLogo 3D 6.1.0)"
"ABM-working-10-stochastic.nlogo3D"
"NinaExploPerturbNLCProtection"
"01/25/2022 11:17:10:001 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-49","49","-49","49"
"[run number]","gui-alpha","[step]","getSeed","getViability","getRemainingCellRatio"
"2","0","41","144971","84.63521526166538","96.975"
"3","0","41","481802","84.47653429602889","96.95"
"1","0","40","154471","83.70959466393022","97.45"
"4","10","41","612836","83.75386199794028","97.1"
"2","0","42","144971","84.41692466460269","96.89999999999999"
"3","0","42","481802","84.00412796697626","96.89999999999999"
"1","0","41","154471","83.30336501412792","97.32499999999999"
"4","10","42","612836","83.36342532886252","96.925"
"2","0","43","144971","84.23365210648747","96.72500000000001"
"3","0","43","481802","83.7251356238698","96.775"
"1","0","42","154471","82.92620210851118","97.225"
"4","10","43","612836","83.07096774193549","96.875"
"2","0","44","144971","83.92857142857143","96.6"
"3","0","44","481802","83.35487205996381","96.72500000000001"
"1","0","43","154471","82.55724208901466","97.175"
"4","10","44","612836","82.67045454545455","96.8"
"2","0","45","144971","83.54922279792746","96.5"
"3","0","45","481802","82.97982410760476","96.65"
"1","0","44","154471","82.37567637206905","97.02499999999999"
"4","10","45","612836","82.27225672877847","96.6"
"2","0","46","144971","83.20808499611299","96.475"
"3","0","46","481802","82.69878269878271","96.525"
"1","0","45","154471","82.10879092549627","96.975"
"4","10","46","612836","81.90056965302952","96.55"
"2","0","47","144971","82.91796469366562","96.3"
"3","0","47","481802","82.53309109784584","96.325"
"1","0","46","154471","81.99896694214877","96.8"
"4","10","47","612836","81.80404354587868","96.45"
"2","0","48","144971","82.61886204208886","96.22500000000001"
"3","0","48","481802","82.15584415584416","96.25"
"1","0","47","154471","81.60206718346254","96.75"
"4","10","48","612836","81.56323032978447","96.275"
"2","0","49","144971","82.21991161944372","96.175"
"3","0","49","481802","81.95527821112844","96.15"
"1","0","48","154471","81.37128072445019","96.625"
"4","10","49","612836","81.5180660254744","96.175"
"2","0","50","144971","81.93649141072358","96.05"
"3","0","50","481802","81.66189111747852","95.975"
"1","0","49","154471","81.24352331606217","96.5"
"2","0","51","144971","81.55769731700964","95.975"
"4","10","50","612836","81.328125","96"
"3","0","51","481802","81.44383633046651","95.92500000000001"
"1","0","50","154471","81.02284527518172","96.3"
"4","10","51","612836","81.22715404699738","95.75"
"2","0","52","144971","81.37229324289068","95.825"
"3","0","52","481802","81.13749021654057","95.825"
"1","0","51","154471","80.83116883116884","96.25"
"2","0","53","144971","81.19122257053291","95.7"
"4","10","52","612836","81.06199319905834","95.575"
"3","0","53","481802","80.84051161576612","95.775"
"1","0","52","154471","80.17151767151766","96.2"
"2","0","54","144971","81.01464435146444","95.6"
"4","10","53","612836","80.65951321643549","95.525"
"3","0","54","481802","80.58531486804286","95.675"
"1","0","53","154471","79.7451898075923","96.15"
"2","0","55","144971","80.80146673651126","95.45"
"4","10","54","612836","80.3248624574273","95.42500000000001"
"3","0","55","481802","80.52356020942409","95.5"
"1","0","54","154471","79.48984903695991","96.05"
"2","0","56","144971","80.40398740818469","95.3"
"4","10","55","612836","80.26246719160105","95.25"
"3","0","56","481802","80.17309205350118","95.325"
"1","0","55","154471","79.24921793534932","95.89999999999999"
"2","0","57","144971","80.24204156800842","95.025"
"4","10","56","612836","79.87916995009193","95.175"
"3","0","57","481802","79.90543735224587","95.175"
"1","0","56","154471","78.97208452908949","95.825"
"2","0","58","144971","79.69984202211691","94.95"
