apoCellsMovementProba,needSigCellsMvtProba,layersAroundNLC,alpha,monoPhagoEff,NLCPhagoEff,M2PhagoEff,M2KillEff,cllSensingDistance,monocyteSensingDistance,nlcSensingDistance,macrophageSensingDistance,nLCThreshold,signalInitMean,signalInitStd,diffTime,diffTimeStd,fitnessVia,fitnessConc,evolution$samples
10,9,1,38,1,9,9,0,3,1,1,3,138,56,8,89,14,67.7269982353247,1302.6945274837005,100.0
10,9,1,38,1,9,9,0,3,1,1,3,138,56,8,89,14,67.7269982353247,1311.8105154837006,100.0
10,9,1,50,1,9,9,0,3,1,1,3,138,56,8,89,18,67.73099531709423,1224.7978904837005,100.0
10,9,1,50,1,9,9,0,3,1,1,3,138,56,8,89,18,67.73099531709423,1215.1352814837,100.0
10,9,1,50,1,9,9,0,3,1,1,3,138,56,8,89,18,67.74601084955765,1239.3475614837005,100.0
10,9,1,50,1,9,9,1,3,1,1,3,138,56,8,89,14,67.7814715194346,1376.6533434837006,100.0
10,9,1,50,1,9,9,1,3,1,1,3,138,56,8,89,14,67.7814715194346,1387.0738504837007,100.0
10,9,1,49,1,8,9,0,3,1,1,3,138,56,8,89,18,67.88882586190098,1228.1032304837,100.0
10,9,1,49,1,8,9,0,3,1,1,3,138,56,8,89,18,67.88882586190098,1223.3714204837,100.0
10,9,1,49,1,8,9,0,3,1,1,3,138,56,8,89,18,67.88882586190098,1208.0510214837002,100.0
10,9,1,49,1,8,9,0,3,1,1,3,138,56,8,89,18,67.91590586200698,1280.9267504837005,100.0
10,9,1,49,1,8,9,0,3,1,1,3,138,56,8,89,18,67.91590586200698,1283.1947634837002,100.0
10,9,1,49,1,8,9,0,3,1,1,3,138,56,8,89,18,67.91590586200698,1288.2122244836999,100.0
10,9,1,38,1,9,9,0,3,1,1,3,138,56,8,89,14,67.91902278745269,1261.3355254837002,100.0
10,9,1,38,1,10,8,1,3,1,1,3,138,56,11,89,14,67.96339316530012,1459.4599544837,100.0
10,9,1,38,1,10,8,1,3,1,1,3,138,56,11,89,14,67.96339316530012,1452.0319774837005,100.0
10,9,1,50,1,9,9,0,3,1,1,3,138,56,8,89,18,67.98129319551971,1239.3475614837005,100.0
9,4,1,38,1,10,8,0,3,1,1,3,138,56,11,89,14,68.00239937970355,1391.1937104837002,100.0
9,4,1,38,1,10,8,0,3,1,1,3,138,56,11,89,14,68.00239937970355,1383.3898624837009,100.0
9,4,1,38,1,10,8,0,3,1,1,3,138,56,11,89,14,68.07745187415212,1391.1937104837002,100.0
9,4,1,38,1,10,8,0,3,1,1,3,138,56,11,89,14,68.07745187415212,1399.8590694837005,100.0
9,4,1,38,1,10,8,0,3,1,1,3,138,56,11,89,14,68.07745187415212,1391.7715974837006,100.0
10,9,1,50,1,9,9,1,3,1,1,3,138,56,8,89,14,68.14660404301749,1407.0330324837005,100.0
10,9,1,50,1,9,9,1,3,1,1,3,138,56,8,89,14,68.14660404301749,1406.0390654837,100.0
10,9,1,50,1,9,9,1,3,1,1,3,138,56,8,89,14,68.14660404301749,1402.7472254836996,100.0
10,9,1,50,1,9,9,0,3,1,1,3,138,56,8,89,18,68.18867687841373,1224.7978904837005,100.0
10,9,1,50,1,9,9,0,3,1,1,3,138,56,8,89,18,68.20369241087717,1254.3852114837,100.0
10,9,1,50,1,9,9,0,3,1,1,3,138,56,8,89,18,68.20369241087717,1247.5844244837006,100.0
10,9,1,50,1,9,9,0,3,1,1,3,138,56,8,89,18,68.20369241087717,1242.7701674837006,100.0
10,9,1,50,1,9,9,0,3,1,1,3,138,56,8,89,18,68.20369241087717,1219.9154474837005,100.0
10,9,1,50,1,9,9,0,3,1,1,3,138,56,8,89,18,68.20369241087717,1260.4757794836999,100.0
10,9,1,50,1,9,9,0,3,1,1,3,138,56,8,89,18,68.20369241087717,1234.7556784837006,100.0
10,9,1,50,1,9,9,0,3,1,1,3,138,56,8,89,18,68.20369241087717,1236.8244184837006,100.0
10,9,1,50,1,9,9,0,3,1,1,3,138,56,8,89,18,68.20369241087717,1231.4052994837007,100.0
10,9,1,50,1,9,9,0,3,1,1,3,138,56,8,89,18,68.20926389242287,1254.3852114837,100.0
10,9,1,50,1,9,9,1,3,1,1,3,138,56,8,89,14,68.23133972927747,1402.4375874836999,100.0
10,9,1,49,1,8,9,0,3,1,1,3,138,56,8,89,18,68.26124420125306,1242.4772554837007,100.0
10,9,1,49,1,8,9,0,3,1,1,3,138,56,8,89,18,68.26124420125306,1257.0616334837005,100.0
10,9,1,49,1,8,9,0,3,1,1,3,138,56,8,89,18,68.26124420125306,1248.2333544837006,100.0
10,10,1,38,1,10,8,0,3,1,1,3,138,56,2,89,19,68.27029215080707,1247.5590204837,100.0
10,9,1,38,1,9,9,0,3,1,1,3,138,56,8,89,14,68.28035284518506,1309.6985304837006,100.0
10,9,1,38,1,9,9,0,3,1,1,3,138,56,8,89,14,68.28035284518506,1298.8831474837007,100.0
10,10,1,38,1,10,8,0,3,1,1,3,138,56,2,89,19,68.33372087977696,1247.5590204837,100.0
10,10,1,38,1,10,8,0,3,1,1,3,138,56,2,89,19,68.33372087977696,1242.4827504836999,100.0
10,10,1,38,1,10,8,0,3,1,1,3,138,56,2,89,19,68.33372087977696,1256.8376034837006,100.0
10,10,1,38,1,10,8,0,3,1,1,3,138,56,2,89,19,68.33372087977696,1262.7201984837002,100.0
10,9,1,50,1,9,9,0,3,1,1,3,138,56,8,89,18,68.4166475753169,1258.0416824837002,100.0
10,9,1,50,1,9,9,0,3,1,1,3,138,56,8,89,18,68.4166475753169,1234.7556784837006,100.0
10,9,1,50,1,9,9,0,3,1,1,3,138,56,8,89,18,68.4166475753169,1260.4757794836999,100.0
10,9,1,50,1,9,9,0,3,1,1,3,138,56,8,89,18,68.4166475753169,1235.5010114837005,100.0
10,9,1,50,1,9,9,0,3,1,1,3,138,56,8,89,18,68.4166475753169,1242.7701674837006,100.0
10,9,1,50,1,9,9,0,3,1,1,3,138,56,8,89,18,68.4166475753169,1236.8244184837006,100.0
10,9,1,38,1,10,8,0,3,1,1,3,138,56,11,88,19,68.46661657471029,1144.9048884837002,100.0
