delta_fitness_via,delta_fitness_conc, apo, needSig, layers, alpha, monoPhago, NLCPhago, MPhago, MKill, cllDist, MonoDist, nlcDist, macroDist, nlcThreshold, signalInitMean, signalInitStd, diffTime, diffInitStd
220.0505949500785,293.2462474837,1, 8, 1, 49, 1, 5, 8, 4, 3, 1, 2, 2, 103, 95, 3, 57, 6
224.10744054637783,293.1226004837,1, 8, 1, 49, 1, 5, 8, 4, 3, 1, 2, 2, 103, 95, 3, 57, 6
224.37496033523448,292.39898148369997,1, 8, 1, 49, 1, 5, 8, 4, 3, 1, 2, 2, 103, 95, 3, 57, 6
226.2017000482708,291.96154148369993,1, 8, 1, 49, 1, 5, 8, 4, 3, 1, 2, 2, 103, 95, 3, 57, 6
233.78805137323917,291.6712324837,1, 8, 1, 49, 1, 5, 8, 4, 3, 1, 2, 2, 103, 95, 3, 57, 6
234.37242329564359,288.6060644837,1, 10, 1, 49, 1, 5, 8, 2, 3, 1, 2, 2, 103, 95, 7, 57, 1
235.00837453134125,287.60249648370007,1, 10, 1, 49, 1, 5, 8, 2, 3, 1, 2, 2, 103, 95, 7, 57, 1
236.67270531456063,286.46416048369997,1, 10, 1, 49, 1, 5, 8, 2, 3, 1, 2, 2, 103, 95, 7, 57, 1
236.9687112159837,285.1365514837,1, 10, 1, 49, 1, 5, 8, 2, 3, 1, 2, 2, 103, 95, 7, 57, 1
245.76614933823043,284.96253748370015,1, 8, 1, 49, 1, 5, 10, 4, 3, 1, 2, 2, 105, 95, 5, 57, 6
246.82439321094563,283.78383448370005,1, 10, 1, 49, 1, 5, 8, 2, 3, 1, 2, 2, 103, 95, 7, 57, 1
248.14324860007525,283.3800084837,1, 8, 1, 49, 1, 5, 10, 4, 3, 1, 2, 2, 105, 95, 6, 57, 6
249.08075082676731,282.0819614837,1, 8, 1, 49, 1, 5, 10, 4, 3, 1, 2, 2, 105, 95, 6, 57, 6
251.4254246085302,281.4590224837,1, 8, 1, 49, 1, 5, 10, 4, 3, 1, 2, 2, 105, 95, 6, 57, 6
257.5377117361647,279.5449294837001,0, 9, 1, 49, 1, 8, 5, 5, 3, 1, 2, 1, 105, 98, 33, 50, 2
258.803707453278,278.68783948370003,0, 9, 1, 49, 1, 8, 5, 5, 3, 1, 2, 1, 105, 98, 33, 50, 2
259.4844910523734,277.8016874837,0, 9, 1, 49, 1, 8, 5, 5, 3, 1, 2, 1, 105, 98, 33, 50, 2
260.1773947652498,277.04652048369996,0, 9, 1, 49, 1, 8, 5, 5, 3, 1, 2, 1, 105, 98, 33, 50, 2
262.0668849138003,275.4200204837001,0, 9, 1, 49, 1, 8, 5, 5, 3, 1, 2, 1, 105, 95, 20, 50, 2
265.0966153140081,275.29721848369996,2, 8, 1, 49, 1, 5, 8, 2, 3, 1, 2, 2, 105, 93, 3, 52, 5
265.2531752127468,273.65652648369996,0, 9, 1, 49, 1, 8, 5, 5, 3, 1, 2, 1, 105, 95, 11, 50, 2
269.57364916448483,272.35290848370005,2, 8, 1, 49, 1, 5, 8, 2, 3, 1, 2, 2, 105, 93, 3, 52, 5
272.3451637825073,270.91555648370013,0, 9, 1, 49, 1, 8, 5, 5, 3, 1, 2, 1, 105, 95, 20, 48, 2
272.9370728273341,270.07359348370005,0, 9, 1, 49, 1, 8, 5, 5, 3, 1, 2, 1, 105, 95, 20, 48, 2
274.28328035974374,269.3149854837001,0, 9, 1, 49, 1, 8, 5, 5, 3, 1, 2, 1, 105, 95, 20, 48, 2
275.73945650028554,269.0927574837001,0, 9, 1, 49, 1, 8, 5, 5, 3, 1, 2, 1, 105, 95, 20, 48, 2
276.07867563541214,267.62195348369994,0, 9, 1, 49, 1, 8, 5, 5, 3, 1, 2, 1, 105, 95, 20, 48, 2
276.8156342938935,267.5933504837001,0, 9, 1, 49, 1, 8, 5, 5, 3, 1, 2, 1, 105, 95, 20, 48, 2
286.2880932393725,267.1174234837001,0, 9, 1, 49, 1, 8, 5, 5, 3, 1, 2, 1, 105, 98, 15, 50, 2
287.20751658068247,267.0431484837001,1, 10, 1, 49, 1, 6, 4, 2, 3, 2, 2, 3, 105, 95, 2, 54, 5
287.7089081252011,264.91176148369993,0, 9, 1, 49, 1, 8, 5, 5, 3, 1, 2, 1, 105, 98, 15, 50, 2
288.62939853574863,264.02444348369994,1, 10, 1, 49, 1, 6, 4, 2, 3, 2, 2, 3, 105, 95, 2, 54, 5
289.5070877647284,263.4781944837,1, 10, 1, 49, 1, 6, 4, 2, 3, 2, 2, 3, 105, 95, 2, 54, 5
290.9684427607514,263.2813264836999,1, 9, 1, 49, 1, 8, 8, 0, 3, 1, 2, 2, 104, 95, 7, 57, 1
292.1482033947846,263.2729524836999,1, 9, 1, 49, 1, 8, 8, 0, 3, 1, 2, 2, 104, 95, 7, 57, 1
295.25460117303777,263.0942664836999,0, 9, 1, 49, 1, 8, 5, 4, 3, 1, 2, 2, 105, 95, 6, 53, 2
297.53532872564654,262.2414804837,0, 9, 1, 49, 1, 8, 5, 4, 3, 1, 2, 2, 105, 95, 6, 53, 2
299.5488800820145,261.6583544836999,0, 9, 1, 49, 1, 8, 5, 4, 3, 1, 2, 2, 105, 95, 6, 53, 2
301.9803025467274,261.4997574836999,1, 9, 1, 49, 1, 8, 8, 0, 3, 1, 2, 2, 104, 95, 7, 57, 1
303.619420819869,261.01941248369997,1, 9, 1, 49, 1, 8, 8, 0, 3, 1, 2, 2, 104, 95, 7, 57, 1
307.2207944946126,260.0435344837001,0, 9, 1, 49, 1, 8, 9, 5, 3, 1, 2, 1, 104, 95, 11, 50, 2
313.8651173685525,259.55149648369996,1, 10, 1, 49, 1, 8, 6, 0, 3, 1, 2, 3, 105, 95, 5, 57, 5
318.03319144982663,257.4598884837001,1, 9, 1, 49, 1, 8, 8, 0, 3, 2, 2, 2, 104, 95, 7, 57, 1
320.28163264528155,257.0762804837001,1, 9, 1, 49, 1, 8, 8, 0, 3, 2, 2, 2, 104, 95, 7, 57, 1
328.86240944760226,256.8578084837001,1, 10, 1, 49, 1, 8, 8, 1, 3, 2, 2, 2, 105, 95, 4, 57, 1
333.6096895897928,253.77597848370002,1, 8, 1, 49, 1, 8, 5, 0, 3, 2, 2, 2, 104, 95, 5, 53, 1
334.87153759633026,252.98833448370013,1, 8, 1, 49, 1, 8, 5, 0, 3, 2, 2, 2, 104, 95, 5, 53, 1
336.7078831009412,252.12722148370014,1, 8, 1, 49, 1, 8, 5, 0, 3, 2, 2, 2, 104, 95, 5, 53, 1
351.3961344538436,251.6042344837,1, 10, 1, 49, 1, 8, 6, 3, 3, 1, 2, 3, 105, 95, 2, 54, 5
357.73987755403334,250.78143148370015,3, 8, 1, 49, 1, 8, 8, 0, 3, 1, 2, 2, 103, 92, 0, 53, 1
365.01626350764633,250.42047648370013,3, 8, 1, 49, 1, 8, 8, 0, 3, 1, 2, 2, 103, 92, 0, 53, 1
365.6356207522352,249.89633048369998,3, 8, 1, 49, 1, 8, 8, 0, 3, 1, 2, 2, 103, 92, 0, 53, 1
369.69478014213655,249.4728194837,3, 8, 1, 49, 1, 8, 8, 0, 3, 1, 2, 2, 103, 92, 0, 53, 1
371.96967521501165,249.3941864837,3, 8, 1, 49, 1, 8, 8, 0, 3, 1, 2, 2, 103, 92, 0, 53, 1
377.65434156358697,249.36653348369998,3, 8, 1, 49, 1, 8, 8, 0, 3, 1, 2, 2, 103, 92, 0, 53, 1
