apoCellsMovementProba,needSigCellsMvtProba,layersAroundNLC,antiApoBoost,monoPhagoEff,nlcPhagoEff,macroPhagoEff,macroKillEff,cllSensingDistance,monocyteSensingDistance,nlcSensingDistance,macrophageSensingDistance,nlcThreshold,signalInitMean,signalInitStd,monoDiffThreshold,monoDiffTimeStd,gammaLifeInitRate,gammaLifeInitShape,fitnessVia,fitnessConc,evolution$samples
5,6,3,181,45,3,22,0,1,2,1,1,147,55,34,65,35,757,0.5365284520654953,363.7325986022253,582.0900000000003,57.0
5,6,3,181,45,3,22,0,1,2,1,1,147,55,34,65,35,757,0.5365284520654953,364.2650851583171,582.76,56.0
5,6,3,181,45,3,22,0,1,2,1,1,147,55,34,65,35,757,0.5365284520654953,364.2650851583171,581.75,54.0
5,6,3,181,45,3,22,0,1,2,1,1,147,55,34,65,35,757,0.5365284520654953,364.2650851583171,576.7950000000001,52.0
5,6,3,181,45,3,22,0,1,2,1,1,147,55,34,65,35,757,0.5365284520654953,364.2650851583171,573.2650000000001,50.0
5,6,3,181,45,3,22,0,1,2,1,1,147,55,34,65,35,757,0.5365284520654953,364.79757171440895,573.5199999999999,51.0
5,6,3,181,45,3,22,0,1,2,1,1,147,55,34,65,35,757,0.5365284520654953,364.79757171440895,580.0700000000002,53.0
5,6,3,181,45,3,22,0,1,2,1,1,147,55,34,65,35,757,0.5365284520654953,364.79757171440895,583.4299999999997,55.0
0,9,3,104,44,79,0,2,3,3,1,1,127,30,11,65,3,2208,0.366639443117318,415.9984554178994,487.1900000000001,50.0
0,9,3,104,44,79,0,2,3,3,1,1,127,30,11,65,3,2208,0.366639443117318,425.4088997516809,487.11000000000007,51.0
0,9,3,104,44,79,0,2,3,3,1,1,127,30,11,65,3,2208,0.366639443117318,426.61485466897136,487.1900000000001,52.0
0,9,3,104,44,79,0,2,3,3,1,1,127,30,11,65,3,2208,0.366639443117318,427.82080958626193,487.27000000000015,53.0
0,9,3,104,44,79,0,2,3,3,1,1,127,30,11,65,3,2208,0.366639443117318,435.5699932799099,487.1900000000001,54.0
0,9,3,104,44,79,0,2,3,3,1,1,127,30,11,65,3,2208,0.366639443117318,443.3191769735578,487.11000000000007,55.0
0,9,3,196,44,79,0,2,3,3,1,1,127,30,11,65,3,2208,0.3669245683635442,452.8520402493178,479.07500000000016,50.0
0,9,3,196,44,79,0,2,3,3,1,1,127,30,11,65,3,2208,0.3669245683635442,453.83697905379927,479.12000000000006,53.0
0,9,3,196,44,79,0,2,3,3,1,1,127,30,11,65,3,2208,0.3669245683635442,453.83697905379927,479.12000000000006,55.0
0,9,3,196,44,79,0,2,3,3,1,1,127,30,11,65,3,2208,0.3669245683635442,453.83697905379927,479.12000000000006,51.0
0,9,3,196,44,79,0,2,3,3,1,1,127,30,11,65,3,2208,0.3669245683635442,453.93741492442433,479.7799999999999,54.0
0,9,3,196,44,79,0,2,3,3,1,1,127,30,11,65,3,2208,0.3669245683635442,453.93741492442433,479.7799999999999,52.0
0,9,3,196,44,79,0,2,3,3,1,1,127,30,11,65,3,2208,0.3669245683635442,453.93741492442433,479.7799999999999,56.0
0,3,1,99,68,0,15,0,2,3,1,1,149,11,31,58,39,775,0.5813289338136125,616.0813790963332,544.2950000000001,52.0
